1	Brian O'Conner a signé sa plus belle action, mais aussi sa faute la plus grave, en laissant filer le chef du gang de voleurs de voitures qu'il avait mission d'infiltrer. Radié de la police de Los Angeles, ce jeune flic rebelle, fan de vitesse et de rodéos, a gardé intact son honneur mais a gâché une belle carrière. Après deux ans de galère, Brian O'Conner se retrouve à Miami et se voit offrir une ultime chance de se racheter. Le FBI et les douanes locales surveillent depuis plusieurs mois le puissant homme d'affaires Carter Verone, qu'ils soupçonnent de se livrer à des opérations de blanchiment d'argent. Mais leurs efforts sont restés vains, le seul indice dont ils disposent pour appâter et démasquer l'énigmatique criminel étant sa passion pour les rodéos. Le temps presse, Brian semble être le seul espoir...	Action / Crime / Thriller	John Singleton	0	6.1	1
2	Un meurtre oblige Don Toretto, un ancien taulard en cavale, et l'agent Brian O'Conner à revenir à L.A. où leur querelle se rallume. Mais confrontés à un ennemi commun, ils sont contraints à former une alliance incertaine s'ils espèrent parvenir à déjouer ses plans. De l'attaque de convoi aux glissades de précision qui les mèneront hors de leurs propres frontières, les deux hommes trouveront le meilleur moyen de prendre leur revanche : en poussant les limites de ce qui est faisable au volant d'un bolide.	Action / Crime / Drame / Thriller	Justin Lin	0	6.4	1
3	Dom, Brian et toute leur équipe, après le casse de Rio, ayant fait tomber un empire en empochant 100 millions de dollars, se sont dispersés aux quatre coins du globe. Mais l’incapacité de rentrer chez eux, et l’obligation de vivre en cavale permanente, laissent à leur vie le goût amer de l’inaccomplissement. Pendant ce temps Hobbs traque aux quatre coins du monde un groupe de chauffeurs mercenaires aux talents redoutables, dont le meneur, Shaw est secondé d’une de main de fer par l’amour que Dom croyait avoir perdu pour toujours : Letty. La seule façon d’arrêter leurs agissements est de les détrôner en surpassant leur réputation. Hobbs demande donc à Dom de rassembler son équipe de choc à Londres. En retour ? Ils seront tous graciés et pourront retourner auprès des leurs, afin de vivre une vie normale.	Action / Thriller / Crime	Justin Lin	0	6.599999	1
5	À 21 ans révolus, Tim Lake découvre qu'il a le pouvoir de voyager dans le temps... Au lendemain d'un réveillon de jour de l'an encore décevant, le père de Tim révèle à son fils que tous les hommes de la famille ont, depuis toujours, la faculté de voyager dans le temps. Tim ne peut pas changer le cours de l'histoire mais il peut changer ce qui se passe et s'est passé dans sa vie. Il décide d'améliorer son existence... en se trouvant une petite amie.	Comédie / Drame / Science-Fiction	Richard Curtis	0	7.7	1
6	Dans les plaines du Serengeti en Tanzanie, les félins sont les rois. La savane est leur domaine et la nourriture abonde. Mais quand les adultes partent à la chasse, les petits sont en danger. Félins nous raconte l'histoire émouvante et captivante d'un groupe de lions, d'un léopard solitaire et d'un couple de guépards prêts à tout pour protéger leur famille.	Documentaire / Familial / Aventure	Keith Scholey / Alastair Fothergill	0	7.3	1
7	Laissez-vous émerveiller par les bancs de poissons qui viennent vous dire bonjour dans votre fauteuil. Admirez de très très près les pieuvres et les poul1epes quasi insaisissables. Restez bouc5whe bée devant l’envergure de la majestueuse raie manta et fai3utes un peu de place dans votre fauteuil pour les sympathiques dauphins et les tortues géantes ! Amazing Ocean 3D, enregistré en 3D stéréoscopique, est une expérience d’une beauté saisissante pour toute la famille. Du plaisir sous-marin pour petits et grands !	Documentaire	Benjamin Eicher / Timo Joh. Mayer	0	6.8	1
8	1985. Le jeune Marty McFly mène une existence anonyme auprès de sa petite amie Jennifer, seulement troublée par sa famille en crise et un proviseur qui serait ravi de l'expulser du lycée. Ami de l'excentrique professeur Emmett Brown, il l'accompagne un soir tester sa nouvelle expérience : le voyage dans le temps via une DeLorean modifiée. La démonstration tourne mal : des trafiquants d'armes débarquent et assassinent le scientifique. Marty se réfugie dans la voiture et se retrouve transporté en 1955. Là, il empêche malgré lui la rencontre de ses parents, et doit tout faire pour les remettre ensemble, sous peine de ne pouvoir exister...	Aventure / Comédie / Science-Fiction / Familial	Robert Zemeckis	0	7.7	1
9	Lors de son premier voyage en 1985, Marty a commis quelques erreurs. L'avenir qu'il s'était tracé n'est pas si rose, et son rejeton est tombé sous la coupe du voyou Griff Tannen, qui veut régner sur la ville. En compagnie de son ami Emmett "Doc" Brown et de sa fiancée Jennifer, Marty va devoir entreprendre un voyage vers le futur, pour tenter de donner un peu plus de moralité à son héritier. Un voyage aux conséquences dramatiques...	Aventure / Comédie / Familial / Science-Fiction / Action	Robert Zemeckis	0	7.1	1
10	Après son voyage mouvementé entre passé, présent et futur, Marty McFly apprend par une lettre vieille de cent ans que son vieil ami Emmett "Doc" Brown se serait crashé en 1880 au volant de sa DeLorean, restant ainsi prisonnier du far-west, sous la menace de Buford "Molosse" Tannen qui s'est juré de le tuer. Il n'a que cinq jours pour retrouver Doc et le ramener vivant vers le présent...	Aventure / Action / Comédie / Science-Fiction / Familial	Robert Zemeckis	0	6.9	1
11	Après les premiers Hunger Games, Katniss est devenue le symbole de la rébellion. Le peuple de Panem est impatient de la retrouver pour la grande Tournée de la victoire. Mais Katniss va devoir prouver au Capitole et au Président Snow que ses sentiments envers Peeta étaient sincères afin de sauver ceux qu’elle aime...	Science-Fiction / Thriller / Action / Aventure	Francis Lawrence	0	7.4	1
